serial;ambient_temp_C;humidity;object_temp_C;cooling_state;critical_level;time_min;ambient_slope;ambient_rolling_mean;class
1;-11.19;0.64;-11.19;0.0;0;1;0.0;-11.19;0
2;-11.19;0.64;-11.19;0.0;0;2;0.0;-11.19;0
3;-11.19;0.64;-11.19;0.0;0;3;0.0;-11.19;0
4;-11.19;0.64;-11.19;0.0;0;4;0.0;-11.19;0
5;-11.19;0.64;-11.19;0.0;0;5;0.0;-11.19;0
6;-11.19;0.64;-11.19;0.0;0;6;0.0;-11.19;0
7;-11.19;0.64;-11.19;0.0;0;7;0.0;-11.19;0
8;-11.19;0.61;-11.19;0.0;0;8;0.0;-11.19;0
9;-11.19;0.61;-11.19;0.0;0;9;0.0;-11.19;0
10;-11.19;0.59;-11.19;0.0;0;10;0.0;-11.19;0
11;-11.19;0.58;-11.19;0.0;0;11;0.0;-11.19;0
12;-11.19;0.58;-11.19;0.0;0;12;0.0;-11.19;0
13;-11.19;0.56;-11.19;0.0;0;13;0.0;-11.19;0
14;-11.19;0.55;-11.19;0.0;0;14;0.0;-11.19;0
15;-11.19;0.54;-11.19;0.0;0;15;0.0;-11.19;0
16;-11.19;0.53;-11.19;0.0;0;16;0.0;-11.19;0
17;-11.19;0.52;-11.19;0.0;0;17;0.0;-11.19;0
18;-11.19;0.52;-11.19;0.0;0;18;0.0;-11.19;0
19;-11.19;0.52;-11.19;0.0;0;19;0.0;-11.19;0
20;-11.19;0.52;-11.19;0.0;0;20;0.0;-11.19;0
21;-11.19;0.51;-11.19;0.0;0;21;0.0;-11.19;0
22;-11.19;0.5;-11.19;0.0;0;22;0.0;-11.19;0
23;-11.19;0.5;-11.19;0.0;0;23;0.0;-11.19;0
24;-11.19;0.49;-11.19;0.0;0;24;0.0;-11.19;0
25;-11.19;0.48;-11.19;0.0;0;25;0.0;-11.19;0
26;-11.19;0.49;-11.19;0.0;0;26;0.0;-11.19;0
27;-11.19;0.49;-11.19;0.0;0;27;0.0;-11.19;0
28;-11.19;0.49;-11.19;0.0;0;28;0.0;-11.19;0
29;-11.19;0.48;-11.19;0.0;0;29;0.0;-11.19;0
30;-11.19;0.48;-11.19;0.0;0;30;0.0;-11.19;0
31;-11.19;0.48;-11.19;0.0;0;31;0.0;-11.19;0
32;-11.19;0.47;-11.19;0.0;0;32;0.0;-11.19;0
33;-11.19;0.47;-11.19;0.0;0;33;0.0;-11.19;0
34;-11.19;0.46;-11.19;0.0;0;34;0.0;-11.19;0
35;-11.19;0.46;-11.19;0.0;0;35;0.0;-11.19;0
36;-11.19;0.46;-11.19;0.0;0;36;0.0;-11.19;0
37;-11.19;0.47;-11.19;0.0;0;37;0.0;-11.19;0
38;-11.25;0.46;-11.25;0.0;0;38;-0.0600000000000005;-11.202;0
39;-11.19;0.46;-11.19;0.0;0;39;0.0600000000000005;-11.201999999999998;0
40;-11.25;0.46;-11.25;0.0;0;40;-0.0600000000000005;-11.213999999999999;0
41;-11.19;0.46;-11.19;0.0;0;41;0.0600000000000005;-11.214;0
42;-11.25;0.45;-11.25;0.0;0;42;-0.0600000000000005;-11.226;0
43;-11.19;0.45;-11.19;0.0;0;43;0.0600000000000005;-11.214;0
44;-11.25;0.45;-11.25;0.0;0;44;-0.0600000000000005;-11.225999999999999;0
45;-11.19;0.45;-11.19;0.0;0;45;0.0600000000000005;-11.213999999999999;0
46;-11.19;0.45;-11.19;0.0;0;46;0.0;-11.213999999999999;0
47;-11.19;0.45;-11.19;0.0;0;47;0.0;-11.202;0
48;-11.25;0.45;-11.25;0.0;0;48;-0.0600000000000005;-11.214;0
49;-11.25;0.45;-11.25;0.0;0;49;0.0;-11.214;0
50;-11.19;0.45;-11.19;0.0;0;50;0.0600000000000005;-11.214;0
51;-11.19;0.45;-11.19;0.0;0;51;0.0;-11.213999999999999;0
52;-11.25;0.45;-11.25;0.0;0;52;-0.0600000000000005;-11.225999999999999;0
53;-11.25;0.45;-11.25;0.0;0;53;0.0;-11.225999999999999;0
54;-11.25;0.45;-11.25;0.0;0;54;0.0;-11.225999999999999;0
55;-11.25;0.45;-11.25;0.0;0;55;0.0;-11.238;0
56;-11.19;0.45;-11.19;0.0;0;56;0.0600000000000005;-11.238;0
57;-11.19;0.44;-11.19;0.0;0;57;0.0;-11.226;0
58;-11.25;0.44;-11.25;0.0;0;58;-0.0600000000000005;-11.226;0
59;-11.25;0.44;-11.25;0.0;0;59;0.0;-11.226;0
60;-11.25;0.44;-11.25;0.0;0;60;0.0;-11.226;0
61;-11.19;0.44;-11.19;0.0;0;61;0.0600000000000005;-11.225999999999999;0
62;-11.25;0.44;-11.25;0.0;0;62;-0.0600000000000005;-11.238;0
63;-11.25;0.44;-11.25;0.0;0;63;0.0;-11.238;0
64;-11.25;0.44;-11.25;0.0;0;64;0.0;-11.238;0
