serial;ambient_temp_C;humidity;object_temp_C;cooling_state;critical_level;time_min
1;-11.19;0.64;-11.19;0.0;0;1
2;-11.19;0.64;-11.19;0.0;0;2
3;-11.19;0.64;-11.19;0.0;0;3
4;-11.19;0.64;-11.19;0.0;0;4
5;-11.19;0.64;-11.19;0.0;0;5
6;-11.19;0.64;-11.19;0.0;0;6
7;-11.19;0.64;-11.19;0.0;0;7
8;-11.19;0.61;-11.19;0.0;0;8
9;-11.19;0.61;-11.19;0.0;0;9
10;-11.19;0.59;-11.19;0.0;0;10
11;-11.19;0.58;-11.19;0.0;0;11
12;-11.19;0.58;-11.19;0.0;0;12
13;-11.19;0.56;-11.19;0.0;0;13
14;-11.19;0.55;-11.19;0.0;0;14
15;-11.19;0.54;-11.19;0.0;0;15
16;-11.19;0.53;-11.19;0.0;0;16
17;-11.19;0.52;-11.19;0.0;0;17
18;-11.19;0.52;-11.19;0.0;0;18
19;-11.19;0.52;-11.19;0.0;0;19
20;-11.19;0.52;-11.19;0.0;0;20
21;-11.19;0.51;-11.19;0.0;0;21
22;-11.19;0.5;-11.19;0.0;0;22
23;-11.19;0.5;-11.19;0.0;0;23
24;-11.19;0.49;-11.19;0.0;0;24
25;-11.19;0.48;-11.19;0.0;0;25
26;-11.19;0.49;-11.19;0.0;0;26
27;-11.19;0.49;-11.19;0.0;0;27
28;-11.19;0.49;-11.19;0.0;0;28
29;-11.19;0.48;-11.19;0.0;0;29
30;-11.19;0.48;-11.19;0.0;0;30
31;-11.19;0.48;-11.19;0.0;0;31
32;-11.19;0.47;-11.19;0.0;0;32
33;-11.19;0.47;-11.19;0.0;0;33
34;-11.19;0.46;-11.19;0.0;0;34
35;-11.19;0.46;-11.19;0.0;0;35
36;-11.19;0.46;-11.19;0.0;0;36
37;-11.19;0.47;-11.19;0.0;0;37
38;-11.25;0.46;-11.25;0.0;0;38
39;-11.19;0.46;-11.19;0.0;0;39
40;-11.25;0.46;-11.25;0.0;0;40
